,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Saint-Pierre,20,RE,1584796225,65,-21.34,55.48,80.6,23.04
374,Praia da Vitória,75,PT,1584796355,54,38.73,-27.07,57.2,24.9
375,Duluth,75,US,1584796598,72,46.78,-92.11,18.0,3.36
376,Çubuk,20,TR,1584796747,53,40.24,33.03,53.6,2.24
377,Longwy,75,FR,1584796748,80,49.52,5.77,45.0,18.34
378,Koutsouras,0,GR,1584796748,56,35.03,25.95,60.71,7.02
379,Sambava,51,MG,1584796298,71,-14.27,50.17,83.03,5.73
380,Havøysund,90,NO,1584796313,79,71.0,24.66,32.0,31.09
381,Mpika,74,ZM,1584796749,75,-11.83,31.45,74.93,8.55
382,Tessalit,16,ML,1584796206,8,20.2,1.01,89.51,11.7
383,Calabozo,10,VE,1584796750,65,8.92,-67.43,75.11,6.96
384,Velikooktyabr'skiy,100,RU,1584796750,44,57.43,33.82,30.47,8.93
385,Isangel,75,VU,1584796251,83,-19.55,169.27,78.8,15.66
386,Port-Gentil,20,GA,1584796227,62,-0.72,8.78,89.6,8.05
387,Treinta y Tres,0,UY,1584796751,51,-33.23,-54.38,70.25,5.44
388,Sørland,75,NO,1584796193,90,67.67,12.69,35.6,13.87
389,Cayenne,75,GF,1584796318,70,4.93,-52.33,84.2,12.75
390,Shingū,1,JP,1584796227,68,33.73,135.98,57.47,9.62
391,Walvis Bay,0,NA,1584796373,57,-22.96,14.51,75.2,8.05
392,Mikun',64,RU,1584796753,76,62.35,50.08,22.19,8.5
393,Pattaya,20,TH,1584796734,66,12.93,100.88,89.01,10.29
394,Barranca,34,PE,1584796753,88,-10.75,-77.77,72.95,9.57
395,Laas,20,IT,1584796266,32,46.62,10.7,68.0,2.24
396,Rangāpāra,43,IN,1584796754,58,26.82,92.65,64.85,5.77
397,Punta Gorda,1,US,1584796755,94,26.93,-82.05,73.0,4.7
398,Maragogi,7,BR,1584796755,75,-9.01,-35.22,81.23,7.94
399,Hofn,100,IS,1584796328,87,64.25,-15.21,41.81,40.33
400,Bathsheba,75,BB,1584796297,74,13.22,-59.52,78.8,18.34
401,Kumul,60,CN,1584796217,28,42.8,93.45,59.45,5.14
402,Novy Urengoy,0,RU,1584796756,94,66.08,76.63,0.05,8.63
403,Vardø,75,NO,1584796201,79,70.37,31.11,26.6,26.4
404,Annonay,9,FR,1584796757,42,45.24,4.67,66.2,2.24
405,The Valley,75,AI,1584796191,73,18.22,-63.06,75.2,14.99
406,Narsaq,75,GL,1584796228,31,60.92,-46.05,19.4,5.82
407,Calvinia,0,ZA,1584796758,10,-31.47,19.78,81.23,13.53
408,Atar,33,MR,1584796758,23,20.52,-13.05,78.17,12.71
409,Concarneau,99,FR,1584796759,81,47.88,-3.92,54.0,10.29
410,Silleda,40,ES,1584796759,77,42.7,-8.25,62.01,2.24
411,Nisibis,40,TR,1584796759,38,37.08,41.22,60.8,4.7
412,Ayorou,78,NE,1584796581,12,14.73,0.92,104.09,10.94
413,Point Pleasant,75,US,1584796760,52,40.08,-74.07,48.0,14.99
414,Pittsfield,90,US,1584796495,72,42.45,-73.25,39.2,13.87
415,Marsaxlokk,20,MT,1584796761,63,35.84,14.54,61.0,29.97
416,Morón,0,AR,1584796743,64,-34.65,-58.62,75.2,5.82
417,Alofi,80,NU,1584796264,94,-19.06,-169.92,77.0,5.86
418,Saskylakh,7,RU,1584796211,77,71.92,114.08,-6.61,10.58
419,Bairiki Village,20,KI,1584796300,74,1.33,172.98,82.4,9.17
420,Binghamton,90,US,1584796585,68,42.1,-75.92,30.0,12.75
421,Waipawa,93,NZ,1584796396,82,-41.41,175.52,64.4,31.09
422,Killybegs,40,IE,1584796763,70,54.63,-8.45,42.8,14.99
423,Solnechnyy,31,RU,1584796343,85,50.72,136.63,13.37,6.24
424,Pangkalanbuun,89,ID,1584796219,78,-2.68,111.62,79.61,1.79
425,Padang,100,ID,1584796238,93,-0.95,100.35,70.97,0.54
426,Asău,96,RO,1584796232,51,46.43,26.4,63.0,11.41
427,Tuatapere,98,NZ,1584796278,95,-46.13,167.68,51.01,1.01
428,Caborca,100,MX,1584796765,47,30.58,-111.1,54.59,4.65
429,Calvià,70,ES,1584796765,59,39.57,2.51,68.0,13.87
430,Tombouctou,26,ML,1584796766,10,20.0,-3.0,85.73,10.22
431,Destin,90,US,1584796766,94,30.39,-86.5,73.0,5.82
432,Bandarbeyla,2,SO,1584796271,77,9.49,50.81,83.21,10.4
433,Ruston,90,US,1584796767,93,32.52,-92.64,51.8,5.82
434,Pemangkat,50,ID,1584796767,84,1.17,108.97,79.79,5.28
435,Changji,0,CN,1584796767,37,44.02,87.32,53.6,4.47
436,Half Moon Bay,90,US,1584796768,81,37.46,-122.43,50.0,4.7
437,Abhā,40,SA,1584796526,68,18.22,42.51,66.2,11.41
438,Kurumkan,97,RU,1584796768,97,54.3,110.3,20.93,1.79
439,Grenville,75,GD,1584796769,78,12.12,-61.62,80.6,11.41
440,Nelson Bay,90,AU,1584796192,83,-32.72,152.15,71.01,5.82
441,Beisfjord,75,NO,1584796770,69,68.38,17.6,37.0,26.4
442,Pagudpud,40,PH,1584796770,88,18.56,120.79,80.6,2.24
443,Talnakh,40,RU,1584796327,84,69.49,88.4,8.6,24.61
444,Gumlā,84,IN,1584796771,65,23.05,84.55,69.17,7.74
445,Forrest City,90,US,1584796499,81,35.01,-90.79,43.0,11.41
446,Mehtar Lām,20,AF,1584796771,63,34.67,70.21,66.2,7.31
447,Raton,90,US,1584796772,86,36.9,-104.44,30.99,3.36
448,Shimoda,1,JP,1584796772,48,34.67,138.95,57.99,3.0
449,Hobyo,57,SO,1584796277,59,5.35,48.53,88.43,13.87
450,Rørvik,92,NO,1584796773,64,64.86,11.24,38.21,12.44
451,Olafsvik,54,IS,1584796311,60,64.89,-23.71,32.81,19.75
452,Te Anau,74,NZ,1584796348,84,-45.42,167.72,52.61,5.57
453,Vallenar,4,CL,1584796774,87,-28.57,-70.76,54.59,2.26
454,Lesnoy,100,RU,1584796774,81,57.62,63.08,32.63,10.56
455,Mizdah,15,LY,1584796775,16,31.45,12.98,82.31,18.59
456,Gatesville,75,US,1584796775,93,31.44,-97.74,45.0,5.82
457,Houlton,1,US,1584796776,35,46.13,-67.84,26.6,17.22
458,Mezen',77,RU,1584796776,69,65.85,44.24,25.79,9.71
459,São José dos Pinhais,90,BR,1584796777,82,-25.53,-49.21,69.01,6.93
460,Banjar,20,ID,1584796777,94,-8.19,114.97,82.4,8.05
461,Hamilton,90,US,1584796230,69,39.18,-84.53,35.01,12.75
462,Røros,65,NO,1584796778,73,62.57,11.38,32.0,8.05
463,Karasburg,17,NA,1584796778,13,-28.02,18.75,91.31,1.72
464,General Roca,100,AR,1584796778,45,-39.03,-67.58,64.4,5.82
465,Dekar,17,BW,1584796779,34,-21.53,21.93,85.19,9.17
466,Vila Velha,75,BR,1584796201,97,-20.33,-40.29,75.99,2.24
467,Ostrovnoy,99,RU,1584796397,93,68.05,39.51,21.47,22.86
468,Marzuq,27,YE,1584796218,28,14.4,46.47,89.87,20.45
469,Ketchikan,20,US,1584796123,86,55.34,-131.65,41.0,5.82
470,Honningsvåg,100,NO,1584796781,71,70.98,25.97,33.71,23.26
471,Jaru,100,BR,1584796781,98,-10.44,-62.47,71.69,1.14
472,Hambantota,20,LK,1584796782,79,6.12,81.12,84.2,6.93
473,Aripuanã,100,BR,1584796782,98,-9.17,-60.63,72.41,0.98
474,Tateyama,20,JP,1584796782,59,34.98,139.87,60.8,5.82
475,Tefé,60,BR,1584796246,94,-3.35,-64.71,78.8,3.36
476,Aquidauana,36,BR,1584796783,85,-20.47,-55.79,75.29,3.29
477,Kitimat,5,CA,1584796784,92,54.05,-128.65,30.2,5.82
478,Kavaratti,38,IN,1584796269,71,10.57,72.64,83.57,12.03
479,Oyo,68,NG,1584796784,40,7.85,3.93,95.45,6.55
480,Quelimane,40,MZ,1584796785,62,-17.88,36.89,86.0,10.29
481,Amapá,100,BR,1584796267,89,1.0,-52.0,75.47,3.18
482,Dongsheng,0,CN,1584796321,27,39.82,109.98,44.51,5.79
483,Baghdad,90,IQ,1584796185,55,33.34,44.4,62.6,27.51
484,Maningrida,100,AU,1584796786,76,-12.07,134.27,81.41,14.5
485,Arlit,9,NE,1584796752,6,18.74,7.39,101.03,12.59
486,Arkhara,96,RU,1584796787,87,49.42,130.08,25.07,6.35
487,Ohangaron,100,UZ,1584796788,58,40.91,69.64,59.0,4.7
488,Melfort,1,CA,1584796788,83,52.87,-104.62,-7.6,3.36
489,Campbell River,5,CA,1584796788,69,50.02,-125.24,39.2,8.05
490,Zhalantun,48,CN,1584796789,74,48.0,122.72,23.99,11.32
491,Limoeiro do Ajuru,100,BR,1584796789,97,-1.9,-49.38,74.21,0.81
492,Bairnsdale,73,AU,1584796789,84,-37.83,147.62,55.0,1.99
493,Baikunthpur,60,IN,1584796790,57,23.25,82.55,74.93,14.54
494,Oktyabr'skiy,86,RU,1584796790,87,54.48,53.47,33.71,8.5
495,Codrington,83,AU,1584796329,80,-38.27,141.97,59.63,14.32
496,Itacarambi,99,BR,1584796791,86,-15.1,-44.09,74.93,2.8
497,Bogatynia,100,PL,1584796791,74,50.91,14.96,39.99,8.99
498,Camacha,40,PT,1584796380,55,33.08,-16.33,62.6,17.22
499,Manokwari,100,ID,1584796280,85,-0.87,134.08,74.93,3.13
500,South Kazakhstan Region,5,KZ,1584796792,37,43.0,68.0,63.23,16.67
501,Aginskoye,90,RU,1584796793,49,51.1,114.53,26.69,3.06
502,Gisborne,100,NZ,1584796793,74,-38.65,178.0,63.0,7.0
503,Chimbote,65,PE,1584796683,72,-9.09,-78.58,73.67,0.67
504,Vilcún,40,CL,1584796794,87,-38.65,-72.23,55.4,10.29
505,Ialibu,100,PG,1584796758,97,-6.28,143.99,61.97,2.68
506,Viedma,26,AR,1584796265,26,-40.81,-63.0,73.13,13.42
507,Dhadar,0,IN,1584796795,15,28.33,75.06,90.77,7.87
508,Ponnampet,20,IN,1584796795,59,12.15,75.93,91.4,9.17
509,Columbus,90,US,1584796513,68,39.96,-83.0,33.01,10.29
510,Qasigiannguit,75,GL,1584796796,78,68.82,-51.19,12.2,5.82
511,Kieta,99,PG,1584796246,76,-6.22,155.63,82.67,4.56
512,Kimbe,69,PG,1584796796,92,-5.55,150.14,76.19,2.28
513,Naze,50,JP,1584796205,72,28.37,129.48,64.4,5.82
514,Fortuna,1,US,1584796312,93,40.6,-124.16,41.0,9.17
515,Sibolga,77,ID,1584796117,93,1.74,98.78,75.29,1.19
516,North Vanlaiphai,63,IN,1584796798,31,23.13,93.07,72.41,3.62
517,Koumac,38,NC,1584796798,88,-20.57,164.28,70.25,4.38
518,Camacupa,73,AO,1584796798,55,-12.02,17.48,81.23,3.02
519,Gaya,75,IN,1584796799,60,24.78,85.0,75.2,11.41
520,Touros,40,BR,1584796267,66,-5.2,-35.46,86.0,2.24
521,Amursk,40,RU,1584796799,85,50.23,136.9,18.23,2.42
522,Leshukonskoye,99,RU,1584796800,76,64.9,45.76,25.07,8.81
523,Batagay,100,RU,1584796368,86,67.63,134.63,11.21,4.63
524,Taoudenni,0,ML,1584796375,16,22.68,-3.98,84.65,8.21
525,Ambatofinandrahana,64,MG,1584796801,84,-20.55,46.8,70.25,6.51
526,Lixouri,0,GR,1584796801,42,38.2,20.43,68.0,4.7
527,Butterworth,20,MY,1584796802,70,5.4,100.36,86.0,3.36
528,Nhulunbuy,73,AU,1584796802,83,-12.23,136.77,78.8,4.7
529,Aljezur,20,PT,1584796802,58,37.32,-8.8,62.01,11.45
530,Kaeo,76,NZ,1584796803,92,-35.1,173.78,59.0,1.01
531,Nekā,90,IR,1584796803,71,36.65,53.3,53.6,11.41
532,Rawson,57,AR,1584795926,41,-43.3,-65.1,68.99,21.68
533,Merke,100,KZ,1584796804,67,42.87,73.18,55.49,8.84
534,Bubaque,69,GW,1584796804,39,11.28,-15.83,81.23,4.65
535,Mandera,22,KE,1584796787,6,3.94,41.87,97.0,1.99
536,Cleburne,75,US,1584796579,86,32.35,-97.39,43.0,8.05
537,Matara,99,LK,1584796805,67,5.95,80.54,82.49,6.55
538,Tegul'det,100,RU,1584796806,98,57.31,88.17,32.63,8.05
539,Ishinomaki,20,JP,1584796806,35,38.42,141.3,55.4,12.75
540,Olinda,40,BR,1584796806,58,-8.01,-34.86,87.8,4.7
541,Kandrian,100,PG,1584796807,92,-6.22,149.55,76.37,1.45
542,Camocim,100,BR,1584796807,85,-2.9,-40.84,82.49,1.48
543,Erzin,20,TR,1584796364,39,36.96,36.2,71.6,12.75
544,Malbork,40,PL,1584796808,48,54.04,19.03,41.0,14.99
545,Fairbanks,40,US,1584796235,74,64.84,-147.72,28.4,5.82
546,Hanna,59,CA,1584796544,80,51.63,-111.9,14.81,3.51
547,Atyrau,26,KZ,1584796716,57,47.12,51.88,48.2,17.9
548,Broome,90,US,1584796245,68,42.25,-75.83,28.99,12.75
549,Arica,90,CL,1584796809,73,-18.48,-70.3,75.2,2.24
550,Pailón,75,BO,1584796810,69,-17.65,-62.75,78.8,2.24
551,Bara,0,NG,1584796810,5,10.37,10.73,103.01,3.0
552,Siguiri,20,GN,1584796810,11,11.67,-9.5,100.13,8.16
553,Cañon City,1,US,1584796811,68,38.44,-105.24,30.0,6.93
554,Paranaíba,83,BR,1584796811,88,-19.68,-51.19,76.37,3.0
555,Baharly,82,TM,1584796812,44,38.44,57.43,61.79,4.83
556,Iquitos,60,PE,1584796812,88,-3.75,-73.25,80.6,2.24
557,Sydney,75,AU,1584796813,73,-33.87,151.21,71.6,1.97
558,Turka,100,UA,1584796813,85,49.15,23.03,37.0,10.36
559,Rocha,0,UY,1584796286,54,-34.48,-54.33,70.97,4.99
560,Shenjiamen,83,CN,1584796357,91,29.96,122.3,58.37,19.39
561,Goderich,32,CA,1584796115,76,43.75,-81.72,21.99,5.01
562,Tanete,41,ID,1584796814,90,-3.94,119.78,76.19,3.13
563,Yuanping,67,CN,1584796815,20,38.72,112.76,52.61,3.04
564,Itoman,75,JP,1584796815,88,26.12,127.67,71.6,11.41
565,Ilhabela,93,BR,1584796815,83,-23.78,-45.36,75.29,8.84
566,Comodoro Rivadavia,99,AR,1584796774,49,-45.87,-67.5,68.0,20.8
567,Moche,75,PE,1584796816,83,-8.17,-79.01,73.4,2.24
568,Magadan,100,RU,1584796817,66,59.57,150.8,15.17,17.85
569,Eureka,1,US,1584796817,93,40.8,-124.16,39.99,10.29
570,Les Cayes,11,HT,1584796358,75,18.2,-73.75,77.27,6.8
571,Manado,20,ID,1584796818,94,1.49,124.85,78.8,2.24
